70509;-56
70510;-57
70511;-68
70512;-67
70513;-63
70514;-64
70515;-67
70516;-71
70517;-62
70518;-61
70519;-67
70520;-66
70521;-63
70522;-64
70523;-62
70524;-67
70525;-63
70526;-60
70527;-56
70528;-64
70529;-55
70530;-56
70531;-61
70532;-67
70533;-61
70534;-80
70535;-73
70536;-64
70537;-57
70538;-58
70539;-65
70540;-65
70541;-64
70542;-76
70543;-69
70544;-72
70545;-70
70546;-68
70547;-72
70548;-71
70549;-63
70550;-61
70551;-60
70552;-60
70553;-63
70554;-61
70555;-58
70556;-59
70557;-60
70558;-62
70559;-59
70560;-54
70561;-53
70562;-54
70563;-57
70564;-81
70565;-63
70566;-68
70567;-62
70568;-66
70569;-65
70570;-58
70571;-70
70572;-67
